Nombre,Tipo,Uso,Me_gusta,Almacenamiento
Netflix,Entretenimiento,Lo Uso,Si,500
Flow,Entretenimiento,Lo Uso,Si,70
Prime Video,Entretenimiento,Lo Uso,Si,200
HBO Max,Entretenimiento,A veces,Si,200
Disney+,Entretenimiento,Lo Uso,Si,200
Paramount+,Entretenimiento,No lo Uso,No,400
TikTok,Entretenimiento,No lo Uso,Si,150
YouTube,Entretenimiento,A veces,Si,75
Spotify,Entretenimiento,Lo Uso,Si,60
Pinterest,Fotos y Videos,No lo Uso,No,200
Fotos,Fotos y Videos,Lo Uso,Si,50
Truco Blyts,Juego,A veces,Si,200
Clash of Clans,Juego,A veces,Si,100
Instagram,Red Social,Lo Uso,Si,130
Facebook,Red Social,No lo Uso,No,300
WhatsApp,Red Social,Lo Uso,Si,80
Snapchat,Red Social,A veces,No,100
Discord,Red Social,A veces,No,100
Pedidos Ya,Servicio,A veces,Si,150
Rappi,Servicio,A veces,Si,80
Mercado Pago,Servicio,Lo Uso,Si,150
Shazam,Servicio,A veces,Si,80
